portable operating systems
78. 1928 - 0.12837498
79. 2404 - 0.12837498
80. 2602 - 0.12837498
81. 2609 - 0.12837498
82. 2926 - 0.12837498
83. 3085 - 0.12837498
84. 1080 - 0.10470052
85. 1510 - 0.103648216
86. 1632 - 0.09364699
87. 2419 - 0.09067331
88. 2945 - 0.09067331
89. 2998 - 0.09067331
90. 17 - 0.08922912
91. 25 - 0.08922912
92. 616 - 0.08922912
93. 673 - 0.08922912
94. 1397 - 0.08922912
95. 1502 - 0.088841334
96. 2370 - 0.08729105
97. 2470 - 0.08729105
98. 2407 - 0.08196218
99. 2653 - 0.07886814
100. 246 - 0.07807548
code optimization for space efficiency
1. 1843 - 0.6407688
2. 2562 - 0.5950522
3. 1999 - 0.5496128
4. 2823 - 0.5279558
5. 2628 - 0.49452582
6. 1937 - 0.443604
7. 2975 - 0.43660232
8. 2982 - 0.38520065
9. 3164 - 0.3822793
10. 2558 - 0.37760827
11. 2752 - 0.3631277
12. 2604 - 0.35825568
13. 3257 - 0.34808838
14. 2530 - 0.34537104
15. 1228 - 0.34014484
16. 2311 - 0.3261639
17. 3023 - 0.3238625
18. 3024 - 0.3238625
19. 3007 - 0.3182902
20. 1700 - 0.30690533
21. 2788 - 0.2900739
22. 1605 - 0.2733363
23. 2488 - 0.2733363
24. 2436 - 0.27255034
25. 3088 - 0.26222652
26. 2089 - 0.26131836
27. 1696 - 0.24726635
28. 2681 - 0.24472685
29. 2935 - 0.24251626
30. 3137 - 0.24251626
31. 3138 - 0.23969121
32. 2933 - 0.23834658
33. 276 - 0.2376863
34. 238 - 0.23768023
35. 823 - 0.23768023
36. 1094 - 0.23768023
37. 1323 - 0.23768023
38. 2498 - 0.233537
39. 1268 - 0.22976528
40. 1952 - 0.22343205
41. 2773 - 0.22256663
42. 66 - 0.21982221
43. 67 - 0.21982221
44. 1582 - 0.21120594
45. 1805 - 0.2100816
46. 2190 - 0.20976584
47. 1309 - 0.20797019
48. 1451 - 0.20797019
49. 1452 - 0.20797019
50. 2912 - 0.20648003
51. 156 - 0.2037311
52. 1715 - 0.20161586
53. 2047 - 0.20161586
54. 2820 - 0.20072074
55. 2795 - 0.19987532
56. 2796 - 0.19987532
57. 2808 - 0.19685797
58. 2597 - 0.18419506
59. 3214 - 0.18090923
60. 1095 - 0.17826018
61. 2656 - 0.17826018
62. 2783 - 0.17741375
63. 2135 - 0.17701164
64. 48 - 0.17621027
65. 1399 - 0.17621027
66. 1856 - 0.17320982
67. 1269 - 0.16896474
68. 1257 - 0.16777228
69. 1406 - 0.16688816
70. 3167 - 0.16646992
71. 1237 - 0.15701587
72. 2716 - 0.15359698
73. 2451 - 0.15054056
74. 2940 - 0.15054056
75. 2969 - 0.14976846
76. 95 - 0.14855014
77. 1754 - 0.14795725
78. 1721 - 0.1439046
79. 1697 - 0.14375627
80. 2913 - 0.14324741
81. 2591 - 0.1411978
82. 1503 - 0.1389802
83. 2288 - 0.13742898
84. 1563 - 0.13612726
85. 2183 - 0.13582075
86. 2565 - 0.13024557
87. 1366 - 0.12994657
88. 820 - 0.12956929
89. 2406 - 0.12796445
90. 3030 - 0.12603588
91. 3031 - 0.12603588
92. 130 - 0.1256127
93. 1591 - 0.1256127
94. 2893 - 0.12545046
95. 2307 - 0.12516612
96. 1304 - 0.12476917
97. 1389 - 0.12476917
98. 1467 - 0.12476917
99. 2427 - 0.12476917
100. 715 - 0.122363426
parallel algorithms
1. 3055 - 1.0108984
2. 3159 - 0.91540146
3. 2625 - 0.8339485
4. 2626 - 0.8339485
5. 2324 - 0.82808995
6. 3241 - 0.82808995
7. 1642 - 0.7696556
8. 979 - 0.6900749
9. 1506 - 0.6900749
10. 2498 - 0.5956775
11. 2640 - 0.5956775
12. 2347 - 0.5689613
13. 2010 - 0.5671878
14. 2915 - 0.53474975
15. 2764 - 0.48284656
16. 147 - 0.47519866
17. 405 - 0.47519866
18. 1337 - 0.47519866
19. 2171 - 0.47265643
20. 2797 - 0.47265643
21. 2240 - 0.4157988
22. 2757 - 0.4115341
23. 2786 - 0.39289296
24. 2974 - 0.36009234
25. 1296 - 0.356399
26. 1404 - 0.356399
27. 1843 - 0.356399
28. 1877 - 0.356399
29. 2772 - 0.356399
30. 2062 - 0.35131457
31. 384 - 0.34778368
32. 1189 - 0.33601618
33. 2862 - 0.30865058
34. 1844 - 0.2981003
35. 3033 - 0.29699916
36. 2973 - 0.29401416
37. 1860 - 0.29099858
38. 279 - 0.28105167
39. 830 - 0.28105167
40. 1378 - 0.28105167
41. 1705 - 0.28105167
42. 2004 - 0.28105167
43. 2385 - 0.28105167
44. 2386 - 0.28105167
45. 2404 - 0.26564413
46. 2928 - 0.26564413
47. 2463 - 0.25720882
48. 2942 - 0.25720882
49. 3143 - 0.25720882
50. 2137 - 0.25201213
51. 3157 - 0.25201213
52. 1411 - 0.24592021
53. 1902 - 0.24592021
54. 2005 - 0.24592021
55. 2284 - 0.24592021
56. 2482 - 0.24592021
57. 2799 - 0.24592021
58. 2907 - 0.24592021
59. 1591 - 0.24339788
60. 1610 - 0.23759933
61. 3127 - 0.23759933
62. 2961 - 0.23237275
63. 2980 - 0.21513537
64. 3030 - 0.21513537
65. 3031 - 0.21513537
66. 3252 - 0.21513537
67. 1703 - 0.21078876
68. 2081 - 0.21078876
69. 2280 - 0.21078876
70. 2424 - 0.21078876
71. 2572 - 0.21078876
72. 2940 - 0.21078876
73. 3021 - 0.21078876
74. 3145 - 0.21078876
75. 2814 - 0.21001011
76. 1038 - 0.2078994
77. 1233 - 0.2078994
78. 1417 - 0.2078994
79. 2801 - 0.2078994
80. 1795 - 0.20576705
81. 1897 - 0.20576705
82. 2233 - 0.20576705
83. 2253 - 0.20576705
84. 1924 - 0.19873354
85. 2330 - 0.19873354
86. 1975 - 0.19639082
87. 2203 - 0.19639082
88. 2331 - 0.19639082
89. 2341 - 0.19639082
90. 2981 - 0.19639082
91. 3089 - 0.19639082
92. 1429 - 0.1825484
93. 2557 - 0.1825484
94. 2751 - 0.1825484
95. 3080 - 0.1825484
96. 1377 - 0.1781995
97. 1509 - 0.1781995
98. 1576 - 0.1781995
99. 1594 - 0.1781995
100. 1644 - 0.1781995
parallel processor in information retrieval
1. 3049 - 0.70787036
2. 655 - 0.5408224
3. 3055 - 0.53600633
4. 1860 - 0.5145662
5. 918 - 0.41106242
6. 919 - 0.41106242
7. 2597 - 0.4056168
8. 3047 - 0.4056168
9. 3058 - 0.4056168
10. 3254 - 0.4056168
11. 2346 - 0.39636377
12. 1978 - 0.38247856
13. 2336 - 0.37443557
14. 2915 - 0.36044562
15. 2959 - 0.3535741
16. 1495 - 0.35225427
17. 2197 - 0.34716755
18. 1745 - 0.34480226
19. 1642 - 0.3441794
20. 3255 - 0.338014
21. 2583 - 0.33626547
22. 1987 - 0.33461678
23. 2586 - 0.322742
24. 3095 - 0.32175058
25. 2171 - 0.31086585
26. 1727 - 0.30972442
27. 2233 - 0.30843487
28. 1879 - 0.30378067
29. 1880 - 0.30378067
30. 2942 - 0.29949895
31. 1989 - 0.29176676
32. 284 - 0.28358677
33. 672 - 0.28358677
34. 2127 - 0.28358677
35. 3073 - 0.28092307
36. 2716 - 0.27180463
37. 2797 - 0.270936
38. 1720 - 0.2704112
39. 2564 - 0.26854196
40. 2365 - 0.2636152
41. 2366 - 0.2636152
42. 1897 - 0.2632508
43. 2520 - 0.26060572
44. 1772 - 0.25509113
45. 2012 - 0.25507796
46. 1062 - 0.2541616
47. 2701 - 0.2541616
48. 3027 - 0.25314742
49. 1396 - 0.25305378
50. 1655 - 0.25084895
51. 1795 - 0.2495824
52. 1270 - 0.24856938
53. 2783 - 0.24856938
54. 2631 - 0.24313897
55. 247 - 0.24307437
56. 302 - 0.24307437
57. 1881 - 0.24307437
58. 2599 - 0.24307437
59. 2013 - 0.23809342
60. 2088 - 0.23660979
61. 2560 - 0.23660979
62. 2645 - 0.2346011
63. 2786 - 0.23315775
64. 2031 - 0.23097938
65. 2923 - 0.2282968
66. 1836 - 0.22815612
67. 2974 - 0.22323112
68. 1404 - 0.2209415
69. 3219 - 0.2202485
70. 2218 - 0.21849056
71. 1296 - 0.21727906
72. 1757 - 0.21511234
73. 2872 - 0.21511234
74. 1877 - 0.20727311
75. 455 - 0.20650096
76. 1697 - 0.20486198
77. 1554 - 0.204378
78. 2198 - 0.2028084
79. 2610 - 0.2028084
80. 2476 - 0.20256197
81. 2619 - 0.20256197
82. 2620 - 0.20256197
83. 2857 - 0.20256197
84. 1494 - 0.20107056
85. 2693 - 0.20107056
86. 2551 - 0.20051764
87. 3220 - 0.2002466
88. 2516 - 0.19921635
89. 2795 - 0.19555391
90. 2796 - 0.19555391
91. 1138 - 0.19402997
92. 2439 - 0.19402997
93. 419 - 0.192961
94. 1567 - 0.18742812
95. 3159 - 0.18699662
96. 1790 - 0.1862887
97. 3074 - 0.1860925
98. 1726 - 0.18554795
99. 1570 - 0.1844164
100. 1227 - 0.18420145
